time,value
2026-09-12T00:54:26.881Z,"{""lat"":-37.63469751503885,""lon"":145.06517585711686}"
2026-09-12T00:54:26.913Z,"{""lat"":-37.63469751503885,""lon"":145.06517585711686}"
2026-09-12T00:54:27.881Z,"{""lat"":-37.63471705225753,""lon"":145.0651942879674}"
2026-09-12T00:54:27.934Z,"{""lat"":-37.63471705225753,""lon"":145.0651942879674}"
2026-09-12T00:54:28.897Z,"{""lat"":-37.63473811716933,""lon"":145.06523745238968}"
2026-09-12T00:54:28.949Z,"{""lat"":-37.63473811716933,""lon"":145.06523745238968}"
2026-09-12T00:54:29.914Z,"{""lat"":-37.63477212027831,""lon"":145.06518224585108}"
2026-09-12T00:54:29.963Z,"{""lat"":-37.63477212027831,""lon"":145.06518224585108}"
2026-09-12T00:54:30.913Z,"{""lat"":-37.63476864805472,""lon"":145.0651804840995}"
2026-09-12T00:54:30.964Z,"{""lat"":-37.63476864805472,""lon"":145.0651804840995}"
2026-09-12T00:54:31.93Z,"{""lat"":-37.634774060336355,""lon"":145.065182032063}"
2026-09-12T00:54:31.982Z,"{""lat"":-37.634774060336355,""lon"":145.065182032063}"
2026-09-12T00:54:33.022Z,"{""lat"":-37.63477644354722,""lon"":145.06518653659043}"
2026-09-12T00:54:33.032Z,"{""lat"":-37.63477644354722,""lon"":145.06518653659043}"
2026-09-12T00:54:33.946Z,"{""lat"":-37.63477551197253,""lon"":145.06518713833836}"
2026-09-12T00:54:34.007Z,"{""lat"":-37.63477551197253,""lon"":145.06518713833836}"
2026-09-12T00:54:34.951Z,"{""lat"":-37.63477276221631,""lon"":145.06518864599775}"
2026-09-12T00:54:35.001Z,"{""lat"":-37.63477276221631,""lon"":145.06518864599775}"
2026-09-12T00:54:36.213Z,"{""lat"":-37.63476849378126,""lon"":145.06519457276414}"
2026-09-12T00:54:36.214Z,"{""lat"":-37.63476849378126,""lon"":145.06519457276414}"
2026-09-12T00:54:37.214Z,"{""lat"":-37.63476600624369,""lon"":145.065193919193}"
2026-09-12T00:54:37.216Z,"{""lat"":-37.63476600624369,""lon"":145.065193919193}"
2026-09-12T00:54:38.215Z,"{""lat"":-37.63476096672732,""lon"":145.065191969642}"
2026-09-12T00:54:38.217Z,"{""lat"":-37.63476096672732,""lon"":145.065191969642}"
2026-09-12T00:54:39.216Z,"{""lat"":-37.634758849496244,""lon"":145.06519130365936}"
2026-09-12T00:54:39.217Z,"{""lat"":-37.634758849496244,""lon"":145.06519130365936}"
2026-09-12T00:54:40.228Z,"{""lat"":-37.634758148128675,""lon"":145.0651935064505}"
2026-09-12T00:54:40.229Z,"{""lat"":-37.634758148128675,""lon"":145.0651935064505}"
2026-09-12T00:54:41.226Z,"{""lat"":-37.63475751129067,""lon"":145.0651965127492}"
2026-09-12T00:54:41.227Z,"{""lat"":-37.63475751129067,""lon"":145.0651965127492}"
2026-09-12T00:54:42.234Z,"{""lat"":-37.634758650744736,""lon"":145.0652035416891}"
2026-09-12T00:54:42.241Z,"{""lat"":-37.634758650744736,""lon"":145.0652035416891}"
2026-09-12T00:54:43.243Z,"{""lat"":-37.634755258825734,""lon"":145.06520226168954}"
2026-09-12T00:54:43.245Z,"{""lat"":-37.634755258825734,""lon"":145.06520226168954}"
2026-09-12T00:54:44.253Z,"{""lat"":-37.63475753261671,""lon"":145.06520460945427}"
2026-09-12T00:54:45.253Z,"{""lat"":-37.63475769444272,""lon"":145.0652065059917}"
2026-09-12T00:54:45.254Z,"{""lat"":-37.63475769444272,""lon"":145.0652065059917}"
2026-09-12T00:54:46.261Z,"{""lat"":-37.634760189275866,""lon"":145.0652053996857}"
2026-09-12T00:54:46.262Z,"{""lat"":-37.634760189275866,""lon"":145.0652053996857}"
2026-09-12T00:54:47.27Z,"{""lat"":-37.634759709155354,""lon"":145.06520786441283}"
2026-09-12T00:54:47.272Z,"{""lat"":-37.634759709155354,""lon"":145.06520786441283}"
2026-09-12T00:54:48.272Z,"{""lat"":-37.634759160422725,""lon"":145.06520604276346}"
2026-09-12T00:54:49.279Z,"{""lat"":-37.63475790928464,""lon"":145.06520426797383}"
2026-09-12T00:54:49.28Z,"{""lat"":-37.63475790928464,""lon"":145.06520426797383}"
2026-09-12T00:54:50.28Z,"{""lat"":-37.63475790928464,""lon"":145.06520426797383}"
2026-09-12T00:54:50.281Z,"{""lat"":-37.63475790928464,""lon"":145.06520426797383}"
2026-09-12T00:54:51.289Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:52.298Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:52.299Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:53.299Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:54.308Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:54.31Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:55.328Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:55.331Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:56.333Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:56.337Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:57.343Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:57.348Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:58.352Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:58.355Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:59.363Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:54:59.364Z,"{""lat"":-37.634756390481726,""lon"":145.06520083565812}"
2026-09-12T00:55:00.377Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:00.378Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:01.389Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:01.39Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:02.387Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:02.388Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:03.394Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:03.395Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:04.397Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:04.398Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:05.408Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:05.409Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:06.415Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:06.416Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:07.425Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:07.426Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:08.433Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:08.435Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:09.444Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:09.445Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:10.457Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:10.458Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:11.466Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:11.468Z,"{""lat"":-37.63475904686882,""lon"":145.0651885427728}"
2026-09-12T00:55:12.469Z,"{""lat"":-37.634768321589604,""lon"":145.06516927639876}"
2026-09-12T00:55:12.47Z,"{""lat"":-37.634768321589604,""lon"":145.06516927639876}"
2026-09-12T00:55:13.47Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:13.471Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:14.476Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:14.479Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:15.49Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:15.497Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:16.504Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:16.505Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:17.508Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:17.509Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:18.526Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:18.527Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:19.53Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:19.532Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:20.553Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:20.555Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:21.558Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:21.559Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:22.565Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:22.567Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:23.566Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:23.567Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:24.574Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:24.576Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:25.583Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:25.585Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:26.584Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:26.585Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:27.592Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:27.593Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:28.601Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:28.602Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:29.602Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:29.603Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:30.61Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:30.612Z,"{""lat"":-37.63476313402041,""lon"":145.06516336784298}"
2026-09-12T00:55:31.619Z,"{""lat"":-37.63471587440375,""lon"":145.0651299046505}"
2026-09-12T00:55:31.62Z,"{""lat"":-37.63471587440375,""lon"":145.0651299046505}"
2026-09-12T00:55:32.622Z,"{""lat"":-37.63471587440375,""lon"":145.0651299046505}"
2026-09-12T00:55:32.623Z,"{""lat"":-37.63471587440375,""lon"":145.0651299046505}"
2026-09-12T00:55:33.634Z,"{""lat"":-37.63471587440375,""lon"":145.0651299046505}"
2026-09-12T00:55:33.638Z,"{""lat"":-37.63471587440375,""lon"":145.0651299046505}"
2026-09-12T00:55:34.63Z,"{""lat"":-37.63471587440375,""lon"":145.0651299046505}"
2026-09-12T00:55:34.632Z,"{""lat"":-37.63471587440375,""lon"":145.0651299046505}"
2026-09-12T00:55:35.641Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:35.642Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:36.651Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:37.652Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:37.653Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:38.655Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:38.656Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:39.666Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:39.667Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:40.666Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:41.679Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:41.68Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:42.681Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:42.688Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:43.684Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:43.686Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:44.706Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:44.707Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:45.715Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:45.718Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:46.717Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:46.718Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:47.718Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:47.721Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:48.73Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:49.728Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:50.736Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:51.737Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:51.738Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:52.75Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:52.751Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:53.757Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:53.758Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:54.756Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:54.757Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:55.762Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:55.763Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:56.763Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:56.764Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:57.771Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:57.773Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:58.779Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:58.78Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:59.784Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:55:59.786Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:00.789Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:00.792Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:01.791Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:01.792Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:02.798Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:02.799Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:03.809Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:03.81Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:04.815Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:04.816Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:05.817Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:05.823Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:06.825Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:07.833Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:07.834Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:08.847Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:08.848Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:09.85Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:09.851Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:10.851Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:10.853Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:11.859Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:11.86Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:12.86Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:12.861Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:13.871Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:13.874Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:14.877Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:14.878Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:15.885Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:16.886Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:16.887Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:17.895Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:18.903Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:19.919Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:19.92Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
